# Q_GeV  x  xD_D0(x,Q2)  D_D0(x,Q2)
    2.5000    0.10000E-01    0.23865E-02    0.23865E+00
    2.5000    0.11191E-01    0.24997E-02    0.22337E+00
    2.5000    0.12523E-01    0.26351E-02    0.21042E+00
    2.5000    0.14014E-01    0.27889E-02    0.19900E+00
    2.5000    0.15683E-01    0.29707E-02    0.18942E+00
    2.5000    0.17550E-01    0.31814E-02    0.18128E+00
    2.5000    0.19640E-01    0.34259E-02    0.17444E+00
    2.5000    0.21978E-01    0.37161E-02    0.16908E+00
    2.5000    0.24595E-01    0.40477E-02    0.16457E+00
    2.5000    0.27524E-01    0.44491E-02    0.16165E+00
    2.5000    0.30801E-01    0.49051E-02    0.15925E+00
    2.5000    0.34468E-01    0.54639E-02    0.15852E+00
    2.5000    0.38572E-01    0.61009E-02    0.15817E+00
    2.5000    0.43165E-01    0.68860E-02    0.15953E+00
    2.5000    0.48304E-01    0.77910E-02    0.16129E+00
    2.5000    0.54056E-01    0.89071E-02    0.16478E+00
    2.5000    0.60492E-01    0.10219E-01    0.16894E+00
    2.5000    0.67694E-01    0.11827E-01    0.17471E+00
    2.5000    0.75755E-01    0.13763E-01    0.18168E+00
    2.5000    0.84774E-01    0.16131E-01    0.19028E+00
    2.5000    0.94868E-01    0.19034E-01    0.20064E+00
    2.5000    0.10616E+00    0.22606E-01    0.21293E+00
    2.5000    0.11880E+00    0.27045E-01    0.22764E+00
    2.5000    0.13295E+00    0.32567E-01    0.24496E+00
    2.5000    0.14878E+00    0.39514E-01    0.26559E+00
    2.5000    0.16650E+00    0.48280E-01    0.28998E+00
    2.5000    0.18632E+00    0.59447E-01    0.31906E+00
    2.5000    0.20850E+00    0.73768E-01    0.35380E+00
    2.5000    0.23333E+00    0.92275E-01    0.39547E+00
    2.5000    0.26111E+00    0.11643E+00    0.44589E+00
    2.5000    0.29220E+00    0.14816E+00    0.50705E+00
    2.5000    0.32699E+00    0.19031E+00    0.58201E+00
    2.5000    0.36593E+00    0.24666E+00    0.67406E+00
    2.5000    0.40950E+00    0.32253E+00    0.78762E+00
    2.5000    0.45825E+00    0.42476E+00    0.92691E+00
    2.5000    0.51282E+00    0.56106E+00    0.10941E+01
    2.5000    0.57388E+00    0.73577E+00    0.12821E+01
    2.5000    0.64221E+00    0.93412E+00    0.14546E+01
    2.5000    0.71867E+00    0.10789E+01    0.15012E+01
    2.5000    0.80424E+00    0.96001E+00    0.11937E+01
    2.5000    0.90000E+00    0.39244E+00    0.43604E+00
    5.0000    0.10000E-01    0.90213E-02    0.90213E+00
    5.0000    0.11191E-01    0.91507E-02    0.81771E+00
    5.0000    0.12523E-01    0.93324E-02    0.74521E+00
    5.0000    0.14014E-01    0.95463E-02    0.68118E+00
    5.0000    0.15683E-01    0.98138E-02    0.62577E+00
    5.0000    0.17550E-01    0.10136E-01    0.57755E+00
    5.0000    0.19640E-01    0.10520E-01    0.53564E+00
    5.0000    0.21978E-01    0.10983E-01    0.49970E+00
    5.0000    0.24595E-01    0.11525E-01    0.46860E+00
    5.0000    0.27524E-01    0.12174E-01    0.44230E+00
    5.0000    0.30801E-01    0.12935E-01    0.41997E+00
    5.0000    0.34468E-01    0.13835E-01    0.40138E+00
    5.0000    0.38572E-01    0.14900E-01    0.38630E+00
    5.0000    0.43165E-01    0.16148E-01    0.37411E+00
    5.0000    0.48304E-01    0.17639E-01    0.36516E+00
    5.0000    0.54056E-01    0.19382E-01    0.35856E+00
    5.0000    0.60492E-01    0.21474E-01    0.35498E+00
    5.0000    0.67694E-01    0.23941E-01    0.35366E+00
    5.0000    0.75755E-01    0.26900E-01    0.35509E+00
    5.0000    0.84774E-01    0.30435E-01    0.35901E+00
    5.0000    0.94868E-01    0.34684E-01    0.36560E+00
    5.0000    0.10616E+00    0.39821E-01    0.37509E+00
    5.0000    0.11880E+00    0.46037E-01    0.38750E+00
    5.0000    0.13295E+00    0.53630E-01    0.40339E+00
    5.0000    0.14878E+00    0.62918E-01    0.42289E+00
    5.0000    0.16650E+00    0.74373E-01    0.44670E+00
    5.0000    0.18632E+00    0.88570E-01    0.47537E+00
    5.0000    0.20850E+00    0.10626E+00    0.50963E+00
    5.0000    0.23333E+00    0.12849E+00    0.55069E+00
    5.0000    0.26111E+00    0.15651E+00    0.59942E+00
    5.0000    0.29220E+00    0.19219E+00    0.65773E+00
    5.0000    0.32699E+00    0.23769E+00    0.72689E+00
    5.0000    0.36593E+00    0.29608E+00    0.80911E+00
    5.0000    0.40950E+00    0.37091E+00    0.90578E+00
    5.0000    0.45825E+00    0.46617E+00    0.10173E+01
    5.0000    0.51282E+00    0.58458E+00    0.11399E+01
    5.0000    0.57388E+00    0.72265E+00    0.12592E+01
    5.0000    0.64221E+00    0.85699E+00    0.13344E+01
    5.0000    0.71867E+00    0.91333E+00    0.12709E+01
    5.0000    0.80424E+00    0.73738E+00    0.91687E+00
    5.0000    0.90000E+00    0.26466E+00    0.29407E+00
   10.0000    0.10000E-01    0.19177E-01    0.19177E+01
   10.0000    0.11191E-01    0.19186E-01    0.17145E+01
   10.0000    0.12523E-01    0.19241E-01    0.15364E+01
   10.0000    0.14014E-01    0.19366E-01    0.13819E+01
   10.0000    0.15683E-01    0.19560E-01    0.12472E+01
   10.0000    0.17550E-01    0.19836E-01    0.11303E+01
   10.0000    0.19640E-01    0.20206E-01    0.10288E+01
   10.0000    0.21978E-01    0.20678E-01    0.94086E+00
   10.0000    0.24595E-01    0.21274E-01    0.86495E+00
   10.0000    0.27524E-01    0.22007E-01    0.79958E+00
   10.0000    0.30801E-01    0.22898E-01    0.74341E+00
   10.0000    0.34468E-01    0.23981E-01    0.69574E+00
   10.0000    0.38572E-01    0.25267E-01    0.65506E+00
   10.0000    0.43165E-01    0.26822E-01    0.62139E+00
   10.0000    0.48304E-01    0.28652E-01    0.59315E+00
   10.0000    0.54056E-01    0.30852E-01    0.57075E+00
   10.0000    0.60492E-01    0.33444E-01    0.55287E+00
   10.0000    0.67694E-01    0.36542E-01    0.53981E+00
   10.0000    0.75755E-01    0.40217E-01    0.53088E+00
   10.0000    0.84774E-01    0.44599E-01    0.52609E+00
   10.0000    0.94868E-01    0.49831E-01    0.52526E+00
   10.0000    0.10616E+00    0.56091E-01    0.52835E+00
   10.0000    0.11880E+00    0.63608E-01    0.53540E+00
   10.0000    0.13295E+00    0.72670E-01    0.54659E+00
   10.0000    0.14878E+00    0.83613E-01    0.56199E+00
   10.0000    0.16650E+00    0.96928E-01    0.58217E+00
   10.0000    0.18632E+00    0.11313E+00    0.60717E+00
   10.0000    0.20850E+00    0.13301E+00    0.63795E+00
   10.0000    0.23333E+00    0.15743E+00    0.67471E+00
   10.0000    0.26111E+00    0.18763E+00    0.71858E+00
   10.0000    0.29220E+00    0.22503E+00    0.77010E+00
   10.0000    0.32699E+00    0.27147E+00    0.83020E+00
   10.0000    0.36593E+00    0.32912E+00    0.89940E+00
   10.0000    0.40950E+00    0.40022E+00    0.97734E+00
